# airbench94.py Training Results
# CIFAR-10 Image Classification Benchmark
# Log file: logs/8953448b-a7fa-4ae7-a6bc-f0edf65f5f81/log.pt

------------------------------------------------------------------------------------------------------
|   Epoch  |   Step  |      Loss  |  Train Acc |  Batch Acc |    Eval Acc |   Time (s)          |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4365  |     0.7168  |   0.6728  |             |              1.3916  |
|          |      1  |      1.2734  |     0.7920  |   0.7594  |             |              1.8597  |
|          |      2  |      1.1963  |     0.8486  |   0.8184  |             |              2.3277  |
|          |      3  |      1.1289  |     0.8740  |   0.8311  |             |              2.7616  |
|          |      4  |      1.1133  |     0.8799  |   0.8695  |             |              3.1950  |
|          |      5  |      1.0820  |     0.9033  |   0.8712  |             |              3.6292  |
|          |      6  |      1.0332  |     0.9238  |   0.8859  |             |              4.0632  |
|          |      7  |      1.0312  |     0.9277  |   0.8967  |             |              4.4978  |
|          |      8  |      0.9556  |     0.9717  |   0.9295  |             |              4.9314  |
|          |      9  |      0.9312  |     0.9854  |   0.9341  |             |              5.3310  |
|          |   eval  |      0.9312  |     0.9854  |   0.9341  |     0.9379  |              5.5078  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4502  |     0.6826  |   0.6017  |             |              0.4734  |
|          |      1  |      1.2529  |     0.8125  |   0.7788  |             |              0.9406  |
|          |      2  |      1.2188  |     0.8135  |   0.7545  |             |              1.4073  |
|          |      3  |      1.1768  |     0.8555  |   0.7937  |             |              1.8424  |
|          |      4  |      1.1191  |     0.8760  |   0.8383  |             |              2.2768  |
|          |      5  |      1.0908  |     0.9014  |   0.8352  |             |              2.7119  |
|          |      6  |      1.0273  |     0.9395  |   0.8825  |             |              3.1462  |
|          |      7  |      1.0205  |     0.9355  |   0.9056  |             |              3.5814  |
|          |      8  |      0.9541  |     0.9717  |   0.9174  |             |              4.0159  |
|          |      9  |      0.9404  |     0.9785  |   0.9321  |             |              4.4150  |
|          |   eval  |      0.9404  |     0.9785  |   0.9321  |     0.9387  |              4.5917  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4814  |     0.6807  |   0.6745  |             |              0.4733  |
|          |      1  |      1.2852  |     0.7842  |   0.6008  |             |              0.9402  |
|          |      2  |      1.2246  |     0.8223  |   0.7849  |             |              1.4068  |
|          |      3  |      1.1719  |     0.8535  |   0.8277  |             |              1.8422  |
|          |      4  |      1.1270  |     0.8691  |   0.8384  |             |              2.2767  |
|          |      5  |      1.0898  |     0.9014  |   0.8525  |             |              2.7116  |
|          |      6  |      1.0439  |     0.9258  |   0.8470  |             |              3.1463  |
|          |      7  |      1.0049  |     0.9434  |   0.8990  |             |              3.5816  |
|          |      8  |      0.9727  |     0.9619  |   0.9204  |             |              4.0162  |
|          |      9  |      0.9473  |     0.9756  |   0.9310  |             |              4.4162  |
|          |   eval  |      0.9473  |     0.9756  |   0.9310  |     0.9400  |              4.5932  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4180  |     0.7090  |   0.6712  |             |              0.4736  |
|          |      1  |      1.2773  |     0.8066  |   0.7555  |             |              0.9410  |
|          |      2  |      1.2168  |     0.8330  |   0.7951  |             |              1.4078  |
|          |      3  |      1.1592  |     0.8604  |   0.7805  |             |              1.8430  |
|          |      4  |      1.1494  |     0.8613  |   0.8225  |             |              2.2776  |
|          |      5  |      1.0986  |     0.8848  |   0.8599  |             |              2.7128  |
|          |      6  |      1.0410  |     0.9268  |   0.8748  |             |              3.1474  |
|          |      7  |      1.0391  |     0.9170  |   0.9007  |             |              3.5828  |
|          |      8  |      0.9702  |     0.9521  |   0.9206  |             |              4.0173  |
|          |      9  |      0.9502  |     0.9717  |   0.9309  |             |              4.4167  |
|          |   eval  |      0.9502  |     0.9717  |   0.9309  |     0.9381  |              4.5935  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4727  |     0.6758  |   0.5894  |             |              0.4852  |
|          |      1  |      1.3252  |     0.7666  |   0.7298  |             |              0.9528  |
|          |      2  |      1.1953  |     0.8496  |   0.8189  |             |              1.4198  |
|          |      3  |      1.1592  |     0.8613  |   0.7608  |             |              1.8559  |
|          |      4  |      1.1289  |     0.8691  |   0.8572  |             |              2.2907  |
|          |      5  |      1.1094  |     0.8809  |   0.8641  |             |              2.7260  |
|          |      6  |      1.0547  |     0.9082  |   0.8619  |             |              3.1614  |
|          |      7  |      1.0225  |     0.9316  |   0.9049  |             |              3.5968  |
|          |      8  |      0.9673  |     0.9668  |   0.9202  |             |              4.0316  |
|          |      9  |      0.9419  |     0.9795  |   0.9306  |             |              4.4318  |
|          |   eval  |      0.9419  |     0.9795  |   0.9306  |     0.9396  |              4.6088  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4209  |     0.7207  |   0.6684  |             |              0.4745  |
|          |      1  |      1.2812  |     0.7930  |   0.7885  |             |              0.9422  |
|          |      2  |      1.1846  |     0.8467  |   0.8152  |             |              1.4096  |
|          |      3  |      1.1602  |     0.8574  |   0.8191  |             |              1.8451  |
|          |      4  |      1.1055  |     0.8887  |   0.8469  |             |              2.2798  |
|          |      5  |      1.0967  |     0.8896  |   0.8685  |             |              2.7151  |
|          |      6  |      1.0469  |     0.9189  |   0.8959  |             |              3.1498  |
|          |      7  |      1.0303  |     0.9307  |   0.9013  |             |              3.5849  |
|          |      8  |      0.9810  |     0.9580  |   0.9178  |             |              4.0194  |
|          |      9  |      0.9404  |     0.9766  |   0.9315  |             |              4.4196  |
|          |   eval  |      0.9404  |     0.9766  |   0.9315  |     0.9400  |              4.5969  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4219  |     0.7227  |   0.6895  |             |              0.4744  |
|          |      1  |      1.2383  |     0.8281  |   0.8032  |             |              0.9427  |
|          |      2  |      1.2246  |     0.8193  |   0.7556  |             |              1.4102  |
|          |      3  |      1.1533  |     0.8623  |   0.7672  |             |              1.8462  |
|          |      4  |      1.1250  |     0.8877  |   0.8374  |             |              2.2817  |
|          |      5  |      1.0713  |     0.9033  |   0.8680  |             |              2.7179  |
|          |      6  |      1.0527  |     0.9238  |   0.8911  |             |              3.1535  |
|          |      7  |      1.0176  |     0.9365  |   0.9032  |             |              3.5895  |
|          |      8  |      0.9780  |     0.9531  |   0.9188  |             |              4.0248  |
|          |      9  |      0.9448  |     0.9736  |   0.9330  |             |              4.4252  |
|          |   eval  |      0.9448  |     0.9736  |   0.9330  |     0.9380  |              4.6021  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4082  |     0.7256  |   0.6959  |             |              0.4752  |
|          |      1  |      1.2725  |     0.7783  |   0.6705  |             |              0.9435  |
|          |      2  |      1.2129  |     0.8291  |   0.8285  |             |              1.4114  |
|          |      3  |      1.1592  |     0.8721  |   0.8372  |             |              1.8477  |
|          |      4  |      1.1260  |     0.8770  |   0.8544  |             |              2.2840  |
|          |      5  |      1.1016  |     0.8906  |   0.8536  |             |              2.7209  |
|          |      6  |      1.0391  |     0.9268  |   0.8884  |             |              3.1572  |
|          |      7  |      1.0146  |     0.9277  |   0.8945  |             |              3.5929  |
|          |      8  |      0.9805  |     0.9551  |   0.9240  |             |              4.0281  |
|          |      9  |      0.9429  |     0.9678  |   0.9351  |             |              4.4285  |
|          |   eval  |      0.9429  |     0.9678  |   0.9351  |     0.9425  |              4.6055  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4404  |     0.6875  |   0.6614  |             |              0.4744  |
|          |      1  |      1.2490  |     0.8223  |   0.7666  |             |              0.9430  |
